Year,Consumption (C) 
1947,976.4
1948,998.1
1949,1025.3
1950,1090.9
1951,1107.1
1952,1142.4
1953,1197.2
1954,1221.9
1955,1310.4
1956,1348.8
1957,1381.8
1958,1393.0
1959,1470.7
1960,1510.8
1961,1541.2
1962,1617.3
1963,1684.0
1964,1784.8
1965,1897.6
1966,2006.1
1967,2066.2
1968,2184.2
1969,2264.8
1970,2317.5
1971,2405.2
1972,2550.5
1973,2675.9
1974,2653.7
1975,2710.9
1976,2868.9
1977,2992.1
1978,3124.7
1979,3203.2
1980,3193.0
1981,3236.0
1982,3275.5
1983,3454.3
1984,3640.6
1985,3820.9
1986,3981.2
1987,4113.4
1988,4279.5
1989,4393.7
1990,4474.5
1991,4466.6
1992,4594.5
1993,4748.9
1994,4928.1
1995,5075.6
1996,5237.5
1997,5423.9
1998,5683.7
1999,5968.4
2000,6257.8
