Month,WPI - Inflation (2004-05 Base)
November-14,0
October-14,1.77089098
September-14,2.379634754
August-14,3.854748603
July-14,5.413105413
June-14,5.658198614
May-14,6.184364061
April-14,5.545826036
March-14,5.996472663
February-14,5.032182563
January-14,5.108631826
December-13,6.398104265
November-13,7.523696682
October-13,7.240356083
September-13,7.049763033
August-13,6.993424985
July-13,5.850422195
June-13,5.160898604
May-13,4.575960952
April-13,4.770642202
March-13,5.652173913
February-13,7.281858129
January-13,7.309388784
December-12,7.310870947
November-12,7.242693774
October-12,7.324840764
September-12,8.066581306
August-12,8.005164622
July-12,7.522697795
June-12,7.576747224
May-12,7.545931759
April-12,7.495069034
March-12,7.692307692
February-12,7.562457799
January-12,7.22972973
December-11,7.739726027
November-11,9.457579972
October-11,9.867039888
September-11,10
August-11,9.780297661
July-11,9.361702128
June-11,9.513590844
May-11,9.561466571
April-11,9.74025974
March-11,9.684519442
February-11,9.541420118
January-11,9.467455621
December-10,9.445277361
November-10,8.20165538
October-10,9.083969466
September-10,8.979278588
August-10,8.87345679
July-10,9.984399376
June-10,10.25236593
May-10,10.48451152
April-10,10.88
March-10,10.36437247
February-10,9.651257097
January-10,8.681672026
December-09,7.148594378
November-09,4.728132388
October-09,1.787101787
September-09,1.40077821
August-09,0.543056633
July-09,-0.311041991
June-09,-0.392772977
May-09,1.450443191
April-09,1.214574899
March-09,1.646090535
February-09,3.613445378
January-09,5.872340426
December-08,6.683804627
November-08,8.647260274
October-08,10.66208083
September-08,10.77586207
August-08,11.12068966
July-08,11.14952463
June-08,10.88850174
May-08,8.195292066
April-08,7.860262009
March-08,7.712765957
February-08,5.68383659
January-08,4.537366548
December-07,4.010695187
November-07,3.730017762
October-07,3.194321207
September-07,3.386809269
August-07,4.035874439
July-07,4.422382671
June-07,4.458598726
May-07,5.519779209
April-07,6.215213358
March-07,6.717123936
February-07,6.628787879
January-07,6.641366224
December-06,6.95900858
November-06,6.72985782
October-06,6.925996205
September-06,6.95900858
August-06,7.108549472
July-06,6.538461538
June-06,6.802721088
May-06,6.048780488
April-06,4.965920156
March-06,4.240631164
February-06,4.451038576
January-06,4.356435644
December-05,4.378109453
November-05,3.9408867
October-05,4.667328699
September-05,4.378109453
August-05,3.479125249
July-05,4.838709677
June-05,4.679552391
May-05,4.591836735
April-05,5.333333333
